User,Site,Password Scheme,Mode,Success,Start Time,Submit Time,End Time,Time to submit (s),Time to login (s)
bpt409,studentlife,testpasstiles;BlankP,enter,false,Mon Jul 25 2011 13:12:31 GMT-0400 (EDT),Mon Jul 25 2011 13:12:41 GMT-0400 (EDT),Mon Jul 25 2011 13:12:42 GMT-0400 (EDT),10,11
bpt409,studentlife,testpasstiles;BlankP,enter,true,Mon Jul 25 2011 13:12:49 GMT-0400 (EDT),Mon Jul 25 2011 13:12:58 GMT-0400 (EDT),Mon Jul 25 2011 13:12:59 GMT-0400 (EDT),9,10
bpt409,studentlife,testpasstiles;BlankP,enter,true,Mon Jul 25 2011 13:13:06 GMT-0400 (EDT),Mon Jul 25 2011 13:13:14 GMT-0400 (EDT),Mon Jul 25 2011 13:13:14 GMT-0400 (EDT),8,8
bpt411,studentlife,testpasstiles;BlankP,enter,true,Mon Jul 25 2011 13:38:38 GMT-0400 (EDT),Mon Jul 25 2011 13:38:48 GMT-0400 (EDT),Mon Jul 25 2011 13:38:49 GMT-0400 (EDT),10,11
bpt411,studentlife,testpasstiles;BlankP,enter,true,Mon Jul 25 2011 13:38:56 GMT-0400 (EDT),Mon Jul 25 2011 13:39:10 GMT-0400 (EDT),Mon Jul 25 2011 13:39:10 GMT-0400 (EDT),14,14
bpt416,studentlife,testpasstiles;BlankP,enter,true,Mon Jul 25 2011 14:55:00 GMT-0400 (EDT),Mon Jul 25 2011 14:55:24 GMT-0400 (EDT),Mon Jul 25 2011 14:55:24 GMT-0400 (EDT),24,24
bpt416,studentlife,testpasstiles;BlankP,enter,true,Mon Jul 25 2011 15:03:04 GMT-0400 (EDT),Mon Jul 25 2011 15:03:35 GMT-0400 (EDT),Mon Jul 25 2011 15:03:35 GMT-0400 (EDT),31,31
bpt418,studentlife,testpasstiles;BlankP,enter,true,Mon Jul 25 2011 15:47:33 GMT-0400 (EDT),Mon Jul 25 2011 15:47:45 GMT-0400 (EDT),Mon Jul 25 2011 15:47:45 GMT-0400 (EDT),12,12
bpt418,studentlife,testpasstiles;BlankP,enter,true,Mon Jul 25 2011 15:48:04 GMT-0400 (EDT),Mon Jul 25 2011 15:48:14 GMT-0400 (EDT),Mon Jul 25 2011 15:48:14 GMT-0400 (EDT),10,10
bpt419,studentlife,testpasstiles;BlankP,enter,true,Mon Jul 25 2011 16:10:19 GMT-0400 (EDT),Mon Jul 25 2011 16:10:40 GMT-0400 (EDT),Mon Jul 25 2011 16:10:41 GMT-0400 (EDT),21,22
bpt419,studentlife,testpasstiles;BlankP,enter,true,Mon Jul 25 2011 16:10:58 GMT-0400 (EDT),Mon Jul 25 2011 16:11:19 GMT-0400 (EDT),Mon Jul 25 2011 16:11:20 GMT-0400 (EDT),21,22
bpt422,studentlife,testpasstiles;BlankP,enter,false,Mon Jul 25 2011 18:29:03 GMT-0400 (EDT),Mon Jul 25 2011 18:29:45 GMT-0400 (EDT),Mon Jul 25 2011 18:29:48 GMT-0400 (EDT),42,45
