User,Site,Password Scheme,Mode,Success,Start Time,Submit Time,End Time,Time to submit (s),Time to login (s)
ipt401,studentlife,testpasstiles;ImageP,enter,true,Mon Jul 25 2011 11:39:27 GMT-0400 (EDT),Mon Jul 25 2011 11:39:58 GMT-0400 (EDT),Mon Jul 25 2011 11:39:59 GMT-0400 (EDT),31,32
ipt401,studentlife,testpasstiles;ImageP,enter,true,Mon Jul 25 2011 11:40:37 GMT-0400 (EDT),Mon Jul 25 2011 11:41:07 GMT-0400 (EDT),Mon Jul 25 2011 11:41:07 GMT-0400 (EDT),30,30
ipt401,studentlife,unknown;ImagePasstil,login,true,Wed Jul 27 2011 05:52:29 GMT-0400 (EDT),Wed Jul 27 2011 05:53:02 GMT-0400 (EDT),Wed Jul 27 2011 05:53:02 GMT-0400 (EDT),33,33
ipt401,studentlife,unknown;ImagePasstil,login,true,Thu Jul 28 2011 13:39:17 GMT-0400 (EDT),Thu Jul 28 2011 13:39:42 GMT-0400 (EDT),Thu Jul 28 2011 13:39:42 GMT-0400 (EDT),25,25
ipt401,studentlife,unknown;ImagePasstil,login,true,Mon Aug 01 2011 13:55:30 GMT-0400 (EDT),Mon Aug 01 2011 13:55:57 GMT-0400 (EDT),Mon Aug 01 2011 13:55:57 GMT-0400 (EDT),27,27
ipt401,voteforyou,testpasstiles;ImageP,enter,true,Mon Jul 25 2011 12:02:25 GMT-0400 (EDT),Mon Jul 25 2011 12:03:08 GMT-0400 (EDT),Mon Jul 25 2011 12:03:08 GMT-0400 (EDT),43,43
ipt401,voteforyou,testpasstiles;ImageP,enter,true,Mon Jul 25 2011 12:03:27 GMT-0400 (EDT),Mon Jul 25 2011 12:03:47 GMT-0400 (EDT),Mon Jul 25 2011 12:03:48 GMT-0400 (EDT),20,21
ipt401,voteforyou,unknown;ImagePasstil,login,true,Wed Jul 27 2011 05:56:33 GMT-0400 (EDT),Wed Jul 27 2011 05:56:54 GMT-0400 (EDT),Wed Jul 27 2011 05:56:54 GMT-0400 (EDT),21,21
ipt401,voteforyou,unknown;ImagePasstil,login,true,Thu Jul 28 2011 13:40:53 GMT-0400 (EDT),Thu Jul 28 2011 13:41:10 GMT-0400 (EDT),Thu Jul 28 2011 13:41:11 GMT-0400 (EDT),17,18
ipt401,voteforyou,unknown;ImagePasstil,login,true,Mon Aug 01 2011 13:58:01 GMT-0400 (EDT),Mon Aug 01 2011 13:58:33 GMT-0400 (EDT),Mon Aug 01 2011 13:58:33 GMT-0400 (EDT),32,32
ipt401,wvacation,testpasstiles;ImageP,enter,true,Mon Jul 25 2011 11:43:54 GMT-0400 (EDT),Mon Jul 25 2011 11:44:19 GMT-0400 (EDT),Mon Jul 25 2011 11:44:19 GMT-0400 (EDT),25,25
ipt401,wvacation,testpasstiles;ImageP,enter,true,Mon Jul 25 2011 11:44:30 GMT-0400 (EDT),Mon Jul 25 2011 11:45:21 GMT-0400 (EDT),Mon Jul 25 2011 11:45:21 GMT-0400 (EDT),51,51
ipt401,wvacation,unknown;ImagePasstil,login,true,Wed Jul 27 2011 05:54:15 GMT-0400 (EDT),Wed Jul 27 2011 05:54:35 GMT-0400 (EDT),Wed Jul 27 2011 05:54:35 GMT-0400 (EDT),20,20
ipt401,wvacation,unknown;ImagePasstil,login,true,Thu Jul 28 2011 13:42:08 GMT-0400 (EDT),Thu Jul 28 2011 13:42:29 GMT-0400 (EDT),Thu Jul 28 2011 13:42:29 GMT-0400 (EDT),21,21
ipt401,wvacation,unknown;ImagePasstil,login,true,Mon Aug 01 2011 13:59:56 GMT-0400 (EDT),Mon Aug 01 2011 14:00:15 GMT-0400 (EDT),Mon Aug 01 2011 14:00:15 GMT-0400 (EDT),19,19
