User,Site,Passowrd Scheme,Mode,Start Time,Submit Time,End Time,Time to submit (s),Time to login (s)
ast403,studentlife,textrandom;az-6,enter,Mon Jul 25 2011 11:43:46 GMT-0400 (EDT),Mon Jul 25 2011 11:43:55 GMT-0400 (EDT),Mon Jul 25 2011 11:43:56 GMT-0400 (EDT),9,10
ast403,studentlife,textrandom;az-6,enter,Tue Jul 26 2011 12:17:16 GMT-0400 (EDT),Tue Jul 26 2011 12:17:29 GMT-0400 (EDT),Tue Jul 26 2011 12:17:29 GMT-0400 (EDT),13,13
ast403,studentlife,textrandom;az-6,enter,Tue Jul 26 2011 12:24:37 GMT-0400 (EDT),Tue Jul 26 2011 12:24:42 GMT-0400 (EDT),Tue Jul 26 2011 12:24:42 GMT-0400 (EDT),5,5
ast403,studentlife,textrandom;az-6,enter,Thu Jul 28 2011 12:20:47 GMT-0400 (EDT),Thu Jul 28 2011 12:20:49 GMT-0400 (EDT),Thu Jul 28 2011 12:20:49 GMT-0400 (EDT),2,2
ast403,studentlife,textrandom;az-6,enter,Thu Jul 28 2011 12:20:53 GMT-0400 (EDT),Thu Jul 28 2011 12:21:03 GMT-0400 (EDT),Thu Jul 28 2011 12:21:03 GMT-0400 (EDT),10,10
ast403,studentlife,textrandom;az-6,enter,Sun Jul 31 2011 12:21:09 GMT-0400 (EDT),Sun Jul 31 2011 12:21:41 GMT-0400 (EDT),Sun Jul 31 2011 12:21:41 GMT-0400 (EDT),32,32
ast403,studentlife,textrandom;az-6,enter,Mon Aug 01 2011 16:28:45 GMT-0400 (EDT),Mon Aug 01 2011 16:29:11 GMT-0400 (EDT),Mon Aug 01 2011 16:29:12 GMT-0400 (EDT),26,27
ast403,voteforyou,textrandom;az-6,enter,Mon Jul 25 2011 11:45:29 GMT-0400 (EDT),Mon Jul 25 2011 11:45:38 GMT-0400 (EDT),Mon Jul 25 2011 11:45:38 GMT-0400 (EDT),9,9
ast403,voteforyou,textrandom;az-6,enter,Tue Jul 26 2011 12:20:00 GMT-0400 (EDT),Tue Jul 26 2011 12:20:05 GMT-0400 (EDT),Tue Jul 26 2011 12:20:05 GMT-0400 (EDT),5,5
ast403,voteforyou,textrandom;az-6,enter,Thu Jul 28 2011 12:22:49 GMT-0400 (EDT),Thu Jul 28 2011 12:22:50 GMT-0400 (EDT),Thu Jul 28 2011 12:22:50 GMT-0400 (EDT),1,1
ast403,voteforyou,textrandom;az-6,enter,Sun Jul 31 2011 12:26:29 GMT-0400 (EDT),Sun Jul 31 2011 12:26:39 GMT-0400 (EDT),Sun Jul 31 2011 12:26:39 GMT-0400 (EDT),10,10
ast403,voteforyou,textrandom;az-6,enter,Mon Aug 01 2011 16:27:02 GMT-0400 (EDT),Mon Aug 01 2011 16:27:38 GMT-0400 (EDT),Mon Aug 01 2011 16:27:39 GMT-0400 (EDT),36,37
ast403,wvacation,textrandom;az-6,enter,Mon Jul 25 2011 11:41:14 GMT-0400 (EDT),Mon Jul 25 2011 11:41:18 GMT-0400 (EDT),Mon Jul 25 2011 11:41:19 GMT-0400 (EDT),4,5
ast403,wvacation,unknown;az-6,login,Tue Jul 26 2011 12:18:34 GMT-0400 (EDT),Tue Jul 26 2011 12:18:37 GMT-0400 (EDT),Tue Jul 26 2011 12:18:37 GMT-0400 (EDT),3,3
ast403,wvacation,textrandom;az-6,enter,Tue Jul 26 2011 12:18:50 GMT-0400 (EDT),Tue Jul 26 2011 12:18:54 GMT-0400 (EDT),Tue Jul 26 2011 12:18:55 GMT-0400 (EDT),4,5
ast403,wvacation,textrandom;az-6,enter,Thu Jul 28 2011 12:23:20 GMT-0400 (EDT),Thu Jul 28 2011 12:23:21 GMT-0400 (EDT),Thu Jul 28 2011 12:23:22 GMT-0400 (EDT),1,2
ast403,wvacation,textrandom;az-6,enter,Sun Jul 31 2011 12:23:30 GMT-0400 (EDT),Sun Jul 31 2011 12:24:57 GMT-0400 (EDT),Sun Jul 31 2011 12:24:58 GMT-0400 (EDT),87,88
ast403,wvacation,textrandom;az-6,enter,Mon Aug 01 2011 16:31:14 GMT-0400 (EDT),Mon Aug 01 2011 16:31:52 GMT-0400 (EDT),Mon Aug 01 2011 16:31:52 GMT-0400 (EDT),38,38
ast413,studentlife,textrandom;az-6,enter,Mon Jul 25 2011 13:59:38 GMT-0400 (EDT),Mon Jul 25 2011 13:59:50 GMT-0400 (EDT),Mon Jul 25 2011 13:59:51 GMT-0400 (EDT),12,13
ast413,studentlife,textrandom;az-6,enter,Tue Jul 26 2011 20:26:57 GMT-0400 (EDT),Tue Jul 26 2011 20:27:01 GMT-0400 (EDT),Tue Jul 26 2011 20:27:02 GMT-0400 (EDT),4,5
ast413,studentlife,textrandom;az-6,enter,Thu Jul 28 2011 22:54:06 GMT-0400 (EDT),Thu Jul 28 2011 22:54:08 GMT-0400 (EDT),Thu Jul 28 2011 22:54:09 GMT-0400 (EDT),2,3
ast413,studentlife,textrandom;az-6,enter,Mon Aug 01 2011 09:04:41 GMT-0400 (EDT),Mon Aug 01 2011 09:04:47 GMT-0400 (EDT),Mon Aug 01 2011 09:04:48 GMT-0400 (EDT),6,7
ast413,studentlife,textrandom;az-6,enter,Tue Aug 02 2011 08:46:23 GMT-0400 (EDT),Tue Aug 02 2011 08:46:27 GMT-0400 (EDT),Tue Aug 02 2011 08:46:27 GMT-0400 (EDT),4,4
